Factor,Average Return (Ann. %),Volatility (Ann. %),Sharpe Ratio,CAPM Beta,CAPM Alpha (Ann. %),FF4 Alpha (Ann. %),Average Return (Ann. %)_rank,Volatility (Ann. %)_rank,Sharpe Ratio_rank,CAPM Beta_rank,CAPM Alpha (Ann. %)_rank,FF4 Alpha (Ann. %)_rank,total_factors
eqnetis_at,4.555334191314852,7.372836830288663,0.6178536560853877,-0.12134625304469175,5.743707168351397,4.966595966306553,22,87,11,115,23,22,153
eqnpo_12m,4.980365106746419,6.668845504736276,0.7468106890779397,-0.17277038435573094,6.707384363888402,5.846133034800971,11,71,7,130,10,7,153
eqnpo_me,3.8526169990678634,9.51823642350504,0.40476164151101823,-0.14971599612424316,5.305064751255739,4.918744918577134,32,127,57,123,29,25,153
eqpo_me,3.7289901413755917,10.354791786091035,0.36012217516382306,-0.11642231728280202,4.856927682027967,5.122706136943855,33,140,64,114,34,20,153
f_score,3.0811192701543066,5.439132493857172,0.5664725530466578,-0.10732418617637818,4.085010737339889,3.237415217187567,47,40,22,110,50,51,153
fcf_me,4.748512399744703,7.96649913295922,0.5960601163061735,-0.08760748750871851,5.657464898507225,4.930801471824431,17,100,15,103,24,24,153
fnl_gr1a,1.639092714214458,5.578082574824977,0.2938451864466864,-0.04546622667235432,2.062935881765293,1.8488583739595166,87,45,78,75,94,93,153
gp_at,1.334153892702326,7.484241512402895,0.1782617370766783,-0.08890553697171678,2.146124340808364,2.0133563333558646,98,88,104,104,92,85,153
gp_atl1,0.755899175237007,8.015645331503816,0.09430297174777724,-0.04002559667413671,1.1188724774680248,1.1651737140056406,115,101,117,69,116,117,153
inv_gr1,2.787577161063666,4.77905862566855,0.5832900115707845,-0.03619468157809994,3.1628985222338146,2.8251218836653047,55,21,21,65,65,62,153
inv_gr1a,1.764004212303151,5.213895212274404,0.33832751531913846,-0.059248421132772386,2.315454479612944,1.928390670389768,84,32,67,84,84,90,153
iskew_capm_21d,-0.15742994416645195,2.711158882081606,-0.05806739885549551,-0.0035335843563433036,-0.12590454682420704,-0.19341249561434237,137,3,139,36,134,140,153
iskew_ff3_21d,-0.8006290104693257,2.542492531525051,-0.3148992575364964,-0.0054855158158819296,-0.7510401941174694,-0.6857788446647861,145,1,149,37,146,146,153
iskew_hxz4_21d,-1.4435493009894524,2.8056288963816365,-0.5145189739281517,0.0073087868591092935,-1.5069011193145854,-1.5402162037987055,150,4,151,28,149,149,153
ival_me,4.9030440689919,9.647563175474348,0.5082158032876347,0.028219248172824857,4.751598177594607,5.444234468955145,12,130,32,18,36,11,153
ivol_capm_21d,4.263111048685123,8.995513363591044,0.47391525934916434,-0.2579884101876389,6.760328268279192,5.168419203879293,26,115,42,137,9,17,153
ivol_capm_252d,3.3544285884621194,10.004031894807028,0.33530766632235176,-0.28326981497055204,5.993360284034166,4.3761098803013265,41,138,68,140,17,33,153
ivol_ff3_21d,3.6247838661804566,8.881972814480807,0.4081057150130832,-0.2787666024213039,6.181311229396602,4.835610087209052,36,113,53,139,14,26,153
ivol_hxz4_21d,2.4723755642460556,9.078334511421108,0.2723380110234596,-0.33607687164727035,6.029141378128533,4.953513346244742,65,119,82,144,16,23,153
